iter	Passed	Remaining
675	19910	9542
676	19954	9520
677	19981	9489
678	20008	9459
679	20034	9428
680	20070	9401
681	20097	9370
682	20122	9339
683	20148	9308
684	20175	9278
685	20201	9246
686	20227	9215
687	20253	9184
688	20279	9153
689	20307	9123
690	20333	9092
691	20372	9067
692	20397	9036
693	20423	9005
694	20449	8974
695	20478	8944
696	20506	8914
697	20532	8883
698	20557	8852
699	20584	8821
700	20611	8791
701	20637	8760
702	20663	8729
703	20693	8700
704	20721	8670
705	20747	8639
706	20780	8612
707	20807	8581
708	20834	8551
709	20861	8520
710	20889	8490
711	20915	8460
712	20942	8429
713	20967	8398
714	20996	8369
715	21022	8338
716	21063	8313
717	21088	8282
718	21115	8252
719	21141	8221
720	21170	8192
721	21195	8161
722	21223	8131
723	21251	8101
724	21278	8071
725	21305	8040
726	21333	8010
727	21361	7981
728	21387	7950
729	21414	7920
730	21440	7889
731	21467	7859
732	21505	7833
733	21544	7807
734	21571	7777
735	21598	7747
736	21626	7717
737	21652	7687
738	21679	7656
739	21705	7626
740	21746	7600
741	21774	7571
742	21800	7540
743	21828	7510
744	21854	7480
745	21881	7450
746	21909	7420
747	21935	7390
748	21963	7360
749	21990	7330
750	22018	7300
751	22045	7270
752	22073	7240
753	22101	7210
754	22128	7180
755	22155	7150
756	22183	7121
757	22210	7090
758	22250	7065
759	22277	7034
760	22305	7005
761	22332	6975
762	22360	6945
763	22385	6914
764	22412	6884
765	22440	6855
766	22467	6825
767	22497	6796
768	22522	6765
769	22548	6735
770	22575	6705
771	22602	6675
772	22628	6645
773	22655	6615
774	22687	6586
775	22729	6561
776	22758	6531
777	22784	6501
778	22812	6471
779	22839	6441
780	22865	6411
781	22920	6389
782	22948	6359
783	22975	6330
784	23004	6300
785	23031	6270
786	23057	6240
787	23083	6210
788	23128	6185
789	23155	6155
790	23184	6125
791	23211	6095
792	23238	6065
793	23265	6036
794	23308	6010
795	23335	5980
796	23378	5954
797	23415	5927
798	23441	5896
799	23469	5867
800	23497	5837
801	23539	5811
802	23565	5781
803	23592	5751
804	23618	5721
805	23645	5691
806	23689	5665
807	23721	5636
808	23746	5606
809	23772	5576
810	23807	5548
811	23839	5519
812	23869	5490
813	23905	5462
814	23931	5432
815	23957	5402
816	23983	5372
817	24010	5342
818	24037	5312
819	24062	5282
820	24090	5252
821	24116	5222
822	24145	5192
823	24173	5163
824	24200	5133
825	24226	5103
826	24253	5073
827	24279	5043
828	24306	5013
829	24335	4984
830	24361	4954
831	24388	4924
832	24415	4894
833	24473	4871
834	24503	4841
835	24546	4815
836	24572	4785
837	24598	4755
838	24625	4725
839	24651	4695
840	24678	4665
841	24706	4636
842	24738	4607
843	24763	4577
844	24790	4547
845	24816	4517
846	24844	4487
847	24871	4458
848	24898	4428
849	24924	4398
850	24967	4371
851	24992	4341
852	25019	4311
853	25047	4282
854	25072	4252
855	25100	4222
856	25131	4193
857	25166	4165
858	25192	4135
859	25228	4106
860	25257	4077
861	25283	4047
862	25311	4018
863	25339	3988
864	25364	3958
865	25391	3928
866	25419	3899
867	25446	3869
868	25473	3840
869	25516	3812
870	25544	3783
871	25571	3753
872	25597	3723
873	25624	3694
874	25651	3664
875	25675	3634
876	25705	3605
877	25731	3575
878	25761	3546
879	25786	3516
880	25815	3486
881	25858	3459
882	25887	3430
883	25913	3400
884	25949	3371
885	25976	3342
886	26004	3312
887	26040	3284
888	26066	3254
889	26094	3225
890	26137	3197
891	26167	3168
892	26193	3138
893	26241	3111
894	26266	3081
895	26296	3052
896	26324	3022
897	26352	2993
898	26377	2963
899	26417	2935
900	26447	2905
901	26472	2876
902	26500	2846
903	26526	2817
904	26552	2787
905	26579	2757
906	26605	2728
907	26632	2698
908	26658	2668
909	26685	2639
910	26710	2609
911	26737	2579
912	26762	2550
913	26789	2520
914	26817	2491
915	26843	2461
916	26886	2433
917	26913	2404
918	26952	2375
919	26980	2346
920	27005	2316
921	27032	2286
922	27058	2257
923	27084	2227
924	27129	2199
925	27158	2170
926	27184	2140
927	27212	2111
928	27238	2081
929	27266	2052
930	27292	2022
931	27321	1993
932	27349	1964
933	27376	1934
934	27403	1905
935	27431	1875
936	27472	1847
937	27501	1817
938	27527	1788
939	27555	1758
940	27581	1729
941	27610	1700
942	27638	1670
943	27674	1641
944	27702	1612
945	27730	1582
946	27760	1553
947	27789	1524
948	27815	1494
949	27842	1465
950	27870	1436
951	27898	1406
952	27925	1377
953	27953	1347
954	27992	1319
955	28033	1290
956	28061	1260
957	28087	1231
958	28114	1201
959	28149	1172
960	28176	1143
961	28214	1114
962	28241	1085
963	28268	1055
964	28301	1026
965	28333	997
966	28359	967
967	28386	938
968	28415	909
969	28457	880
970	28483	850
971	28519	821
972	28545	792
973	28574	762
974	28600	733
975	28628	703
976	28654	674
977	28681	645
978	28707	615
979	28733	586
980	28759	557
981	28791	527
982	28833	498
983	28860	469
984	28885	439
985	28913	410
986	28940	381
987	28969	351
988	28994	322
989	29022	293
990	29048	263
991	29074	234
992	29118	205
993	29160	176
994	29188	146
995	29220	117
996	29274	88
997	29316	58
998	29345	29
999	29369	0
